,x,y
0,50.289118,18.675407
1,50.289118,18.675407
2,50.288757,18.675667
3,50.288933,18.675543
4,50.288985,18.675518
5,50.289587,18.67429
6,50.28962,18.674973
7,50.2897,18.67534
8,50.289687,18.675355
9,50.289505,18.675465
10,50.289113,18.675543
11,50.28908,18.675542
12,50.28906,18.675538
13,50.28906,18.675503
14,50.289043,18.675487
15,50.289038,18.67547
16,50.28904,18.675452
17,50.28904,18.675433
18,50.289048,18.675428
19,50.289052,18.675427
20,50.289058,18.675433
21,50.289058,18.67544
22,50.289063,18.675448
23,50.289072,18.675467
24,50.289073,18.675483
25,50.289073,18.675498
26,50.289075,18.675513
27,50.289085,18.675528
28,50.289088,18.675533
29,50.289093,18.675542
30,50.289095,18.675548
31,50.289105,18.67555
32,50.289118,18.675552
33,50.289122,18.675548
34,50.289128,18.675558
35,50.28913,18.675572
36,50.289132,18.675595
37,50.289128,18.675607
38,50.289123,18.675615
39,50.289115,18.675622
40,50.28911,18.675622
41,50.289108,18.675618
42,50.28911,18.675618
43,50.28911,18.675625
44,50.289113,18.675632
45,50.28911,18.675623
46,50.289113,18.675637
47,50.289113,18.675638
48,50.289115,18.675642
49,50.289115,18.675645
50,50.289117,18.675647
51,50.289117,18.67565
52,50.289117,18.675652
53,50.289117,18.675652
54,50.289118,18.675653
55,50.289118,18.675655
56,50.289118,18.675657
57,50.289118,18.67566
58,50.28912,18.675663
59,50.289123,18.675655
60,50.289122,18.675647
61,50.28912,18.675638
62,50.289118,18.675627
63,50.289118,18.675625
64,50.289118,18.675625
65,50.289118,18.675627
66,50.289118,18.675628
67,50.28912,18.675628
68,50.289122,18.675627
69,50.289123,18.675625
70,50.289123,18.675623
71,50.289123,18.675622
72,50.289125,18.67562
73,50.289125,18.675618
74,50.289125,18.675617
75,50.289123,18.675617
76,50.289125,18.675613
77,50.289123,18.675608
78,50.289123,18.675605
79,50.28911,18.675593
80,50.2891,18.675583
81,50.289093,18.675583
82,50.289098,18.67559
83,50.289117,18.675583
84,50.289125,18.675585
85,50.289128,18.67558
86,50.289133,18.675573
87,50.28913,18.675568
88,50.289135,18.675557
89,50.289138,18.675558
90,50.289135,18.675563
91,50.28914,18.675563
92,50.289143,18.675568
93,50.28914,18.675567
94,50.289142,18.675565
95,50.289142,18.675563
96,50.28914,18.675565
97,50.28914,18.675563
98,50.289138,18.675562
99,50.289138,18.675558
100,50.289138,18.675557
101,50.289138,18.675553
102,50.289138,18.67555
103,50.289138,18.675548
104,50.289138,18.675548
105,50.28914,18.675547
106,50.289142,18.675547
107,50.289143,18.675547
108,50.289142,18.675553
109,50.289135,18.675558
110,50.289123,18.675567
111,50.28911,18.675558
112,50.289098,18.675557
113,50.289095,18.675563
114,50.289083,18.675563
115,50.289075,18.675568
116,50.289062,18.675568
117,50.28906,18.675575
118,50.289052,18.675567
119,50.289052,18.675568
