,x,y
0,50.289073,18.67595
1,50.289065,18.675935
2,50.289067,18.67593
3,50.28907,18.675917
4,50.28907,18.675923
5,50.289072,18.675928
6,50.289068,18.675947
7,50.289063,18.675957
8,50.28906,18.675955
9,50.289053,18.675955
10,50.289052,18.675957
11,50.289052,18.67596
12,50.289045,18.675965
13,50.289045,18.67597
14,50.289042,18.675973
15,50.289037,18.67598
16,50.28904,18.67598
17,50.289042,18.675978
18,50.28905,18.675973
19,50.289047,18.675978
20,50.289045,18.675975
21,50.289042,18.675972
22,50.289042,18.67597
23,50.289042,18.67597
24,50.28904,18.67597
25,50.28904,18.67597
26,50.289038,18.675968
27,50.289038,18.675968
28,50.289037,18.67597
29,50.289037,18.67597
30,50.289035,18.675968
31,50.289035,18.675968
32,50.289033,18.675967
33,50.289032,18.675965
34,50.289032,18.675963
35,50.289033,18.675962
36,50.289035,18.67596
37,50.289037,18.67596
38,50.289038,18.675958
39,50.289038,18.675958
40,50.289038,18.675957
41,50.289037,18.675957
42,50.289035,18.675953
43,50.289035,18.675953
44,50.289035,18.675953
45,50.289035,18.67595
46,50.289037,18.67595
47,50.289037,18.67595
48,50.289037,18.67595
49,50.289037,18.675952
50,50.289037,18.675952
51,50.289038,18.675952
52,50.28904,18.675952
53,50.289042,18.67595
54,50.289042,18.675948
55,50.289042,18.675947
56,50.289043,18.675947
57,50.289045,18.675945
58,50.289045,18.675945
59,50.289045,18.675945
60,50.289047,18.675947
61,50.289047,18.675945
62,50.289047,18.675945
63,50.289045,18.675943
64,50.289045,18.675942
65,50.289045,18.675942
66,50.289045,18.675943
67,50.289047,18.675947
68,50.289047,18.675947
69,50.289048,18.675948
70,50.289048,18.675945
71,50.289047,18.675943
72,50.289045,18.675943
73,50.289045,18.675945
74,50.289045,18.675945
75,50.289043,18.675947
76,50.289042,18.675948
77,50.289042,18.67595
78,50.289042,18.675948
79,50.28904,18.675948
80,50.28904,18.675947
81,50.28904,18.675945
82,50.289038,18.675943
83,50.289037,18.675942
84,50.289037,18.67594
85,50.289037,18.675938
86,50.289037,18.675938
87,50.289038,18.675937
88,50.28904,18.675935
89,50.28904,18.675935
90,50.289042,18.675935
91,50.289042,18.675935
92,50.289043,18.675937
93,50.289043,18.675937
94,50.289045,18.675937
95,50.289047,18.675938
96,50.289048,18.67594
97,50.289048,18.67594
98,50.289048,18.675942
99,50.28905,18.675943
100,50.28905,18.675943
101,50.289052,18.675945
102,50.289053,18.675945
103,50.289055,18.675945
104,50.289057,18.675945
105,50.289057,18.675943
106,50.289057,18.675942
107,50.289055,18.675942
108,50.289055,18.67594
109,50.289055,18.675942
110,50.289053,18.675942
111,50.289053,18.675942
112,50.289053,18.67594
113,50.289053,18.675942
114,50.289053,18.675942
115,50.289053,18.675943
116,50.289053,18.675943
117,50.289057,18.675948
118,50.289058,18.675945
119,50.289062,18.675943
