,x,y
0,50.289357,18.676425
1,50.289357,18.676427
2,50.289357,18.676427
3,50.289355,18.676428
4,50.289357,18.67643
5,50.289357,18.676433
6,50.289358,18.676435
7,50.28936,18.676437
8,50.28936,18.676438
9,50.289362,18.67644
10,50.289363,18.676443
11,50.289363,18.676447
12,50.289365,18.67645
13,50.289367,18.676453
14,50.289367,18.676457
15,50.289378,18.676457
16,50.28939,18.676475
17,50.2894,18.676475
18,50.289403,18.676472
19,50.289398,18.676477
20,50.289398,18.676473
21,50.2894,18.676478
22,50.289403,18.676478
23,50.289403,18.67648
24,50.289408,18.67648
25,50.289412,18.676478
26,50.289415,18.676473
27,50.289417,18.676475
28,50.28942,18.676475
29,50.28942,18.676473
30,50.289422,18.676472
31,50.289423,18.67647
32,50.289425,18.67647
33,50.289425,18.67647
34,50.289425,18.67647
35,50.289425,18.67647
36,50.289425,18.67647
37,50.289425,18.676468
38,50.289423,18.676467
39,50.289423,18.676465
40,50.289423,18.676462
41,50.289425,18.676458
42,50.289427,18.676457
43,50.289427,18.676453
44,50.289428,18.676452
45,50.289432,18.67645
46,50.289452,18.67644
47,50.289467,18.676425
48,50.28947,18.676422
49,50.28947,18.676415
50,50.289468,18.67638
51,50.289463,18.676342
52,50.289477,18.676313
53,50.289485,18.6763
54,50.289482,18.676303
55,50.289475,18.676318
56,50.289465,18.67633
57,50.289472,18.676325
58,50.289463,18.676332
59,50.289468,18.676332
60,50.289475,18.676327
61,50.289472,18.676325
62,50.289472,18.676325
63,50.28947,18.676323
64,50.289468,18.676323
65,50.289475,18.676352
66,50.28948,18.67637
67,50.28947,18.676392
68,50.289475,18.676403
69,50.289475,18.676422
70,50.289477,18.67643
71,50.289475,18.676435
72,50.28947,18.676443
73,50.289463,18.676442
74,50.289468,18.676428
75,50.289468,18.676428
76,50.289467,18.676428
77,50.289468,18.676427
78,50.289468,18.676427
79,50.289467,18.676425
80,50.289467,18.676427
81,50.289468,18.676427
82,50.28947,18.676428
83,50.289472,18.67643
84,50.289473,18.676432
85,50.289475,18.676433
86,50.289475,18.676435
87,50.289475,18.676435
88,50.289475,18.676435
89,50.289475,18.676437
90,50.289473,18.676437
91,50.289472,18.676437
92,50.289472,18.676437
93,50.289472,18.676437
94,50.289472,18.676437
95,50.289472,18.676438
96,50.289473,18.676438
97,50.289477,18.676437
98,50.289473,18.676442
99,50.289465,18.676452
100,50.289458,18.676457
101,50.289458,18.676448
102,50.289463,18.676427
103,50.289465,18.676428
104,50.289465,18.67643
105,50.289463,18.676425
106,50.289455,18.67644
107,50.289452,18.676448
108,50.289448,18.676453
109,50.28945,18.676448
110,50.289455,18.676442
111,50.289457,18.67643
112,50.289465,18.676417
113,50.289472,18.67641
114,50.289488,18.676382
115,50.289485,18.676382
116,50.289482,18.676385
117,50.289487,18.676368
118,50.289497,18.676357
119,50.289487,18.676363
