,x,y
0,50.289802,18.676178
1,50.289497,18.676013
2,50.28934,18.675932
3,50.289288,18.675723
4,50.289293,18.675943
5,50.289217,18.675853
6,50.28928,18.675973
7,50.289252,18.675963
8,50.289247,18.675963
9,50.289235,18.675968
10,50.28923,18.675975
11,50.289242,18.675973
12,50.289253,18.675967
13,50.289257,18.675957
14,50.289263,18.675977
15,50.289257,18.675968
16,50.28927,18.675965
17,50.289263,18.675977
18,50.289252,18.675983
19,50.289258,18.67598
20,50.28925,18.676
21,50.289245,18.676002
22,50.28925,18.67599
23,50.28926,18.675983
24,50.289257,18.675985
25,50.289265,18.675977
26,50.289258,18.675967
27,50.289257,18.675953
28,50.28925,18.675955
29,50.289252,18.67595
30,50.289255,18.675948
31,50.289262,18.67595
32,50.289263,18.67595
33,50.289265,18.67595
34,50.289265,18.67595
35,50.289265,18.675948
36,50.289263,18.675947
37,50.289263,18.675945
38,50.289263,18.675945
39,50.289265,18.675945
40,50.289267,18.675943
41,50.289268,18.675943
42,50.28927,18.67594
43,50.289272,18.675938
44,50.289272,18.675937
45,50.289273,18.675935
46,50.289272,18.675913
47,50.289263,18.675897
48,50.289267,18.675888
49,50.289263,18.675873
50,50.289258,18.675867
51,50.289268,18.675855
52,50.289278,18.675847
53,50.28928,18.675845
54,50.289282,18.675843
55,50.289283,18.675842
56,50.289285,18.675843
57,50.289285,18.675845
58,50.289287,18.675845
59,50.289287,18.675847
60,50.289285,18.675847
61,50.289285,18.675845
62,50.289285,18.675845
63,50.289282,18.675845
64,50.28928,18.675845
65,50.289277,18.675845
66,50.289275,18.675847
67,50.289273,18.675847
68,50.289273,18.675848
69,50.289273,18.675848
70,50.289273,18.67585
71,50.289275,18.675852
72,50.289277,18.675852
73,50.28928,18.67585
74,50.289282,18.67585
75,50.289283,18.675848
76,50.289283,18.675848
77,50.289283,18.67585
78,50.289283,18.675852
79,50.289282,18.675853
80,50.28928,18.675857
81,50.289278,18.675858
82,50.289278,18.67586
83,50.289277,18.675862
84,50.289277,18.675862
85,50.289277,18.675862
86,50.289277,18.675862
87,50.289277,18.675862
88,50.289277,18.67586
89,50.289277,18.67586
90,50.289277,18.67586
91,50.289277,18.67586
92,50.289277,18.67586
93,50.289277,18.675862
94,50.289278,18.675865
95,50.289278,18.675867
96,50.289278,18.675868
97,50.28928,18.67587
98,50.28928,18.67587
99,50.28928,18.675872
100,50.28928,18.675873
101,50.28928,18.675873
102,50.28928,18.675875
103,50.28928,18.675875
104,50.28928,18.675877
105,50.28928,18.675878
106,50.28928,18.675882
107,50.289278,18.675883
108,50.289277,18.675885
109,50.289277,18.675887
110,50.289275,18.67589
111,50.289275,18.675892
112,50.289275,18.675893
113,50.289275,18.675895
114,50.289275,18.675898
115,50.289275,18.6759
116,50.289272,18.675902
117,50.289272,18.675902
118,50.289273,18.675902
119,50.289273,18.675902
