,x,y
0,50.28892,18.675588
1,50.288915,18.67561
2,50.288908,18.675592
3,50.288888,18.675612
4,50.288942,18.675623
5,50.28894,18.675622
6,50.288898,18.675608
7,50.288875,18.675622
8,50.288977,18.676117
9,50.288957,18.676112
10,50.288925,18.676117
11,50.288912,18.676117
12,50.28891,18.676113
13,50.288925,18.676107
14,50.288913,18.676092
15,50.288908,18.676067
16,50.288898,18.67603
17,50.28889,18.67598
18,50.288887,18.675977
19,50.288905,18.67595
20,50.288903,18.675943
21,50.288917,18.67595
22,50.28892,18.675943
23,50.288923,18.675932
24,50.288922,18.67594
25,50.288912,18.675952
26,50.288912,18.675953
27,50.288912,18.675955
28,50.288912,18.675957
29,50.288913,18.675958
30,50.288913,18.675958
31,50.288913,18.67596
32,50.288913,18.675962
33,50.288915,18.675963
34,50.288915,18.675965
35,50.288917,18.675967
36,50.288937,18.675967
37,50.28896,18.675975
38,50.28897,18.67598
39,50.288987,18.675985
40,50.288987,18.675992
41,50.28899,18.675993
42,50.288988,18.676003
43,50.28898,18.676012
44,50.288977,18.67602
45,50.288975,18.67602
46,50.288973,18.67602
47,50.288973,18.676022
48,50.288975,18.676023
49,50.288977,18.676025
50,50.288977,18.676027
51,50.288978,18.676028
52,50.28898,18.676028
53,50.288982,18.676028
54,50.288985,18.676027
55,50.288987,18.676025
56,50.28899,18.676027
57,50.288992,18.676028
58,50.289063,18.675948
59,50.289072,18.675882
60,50.289077,18.675868
61,50.289083,18.675855
62,50.2891,18.675847
63,50.2891,18.675843
64,50.2891,18.67584
65,50.2891,18.675837
66,50.2891,18.675833
67,50.2891,18.675832
68,50.2891,18.67583
69,50.289102,18.675827
70,50.289102,18.675823
71,50.28911,18.675803
72,50.289128,18.675783
73,50.289133,18.675773
74,50.28913,18.675758
75,50.28914,18.675743
76,50.289152,18.675728
77,50.289167,18.675712
78,50.28918,18.6757
79,50.289177,18.675702
80,50.289178,18.67569
81,50.28918,18.67568
82,50.289178,18.67568
83,50.289175,18.675678
84,50.289172,18.675675
85,50.28917,18.67567
86,50.28917,18.67567
87,50.289168,18.675672
88,50.289125,18.675595
89,50.289097,18.675568
90,50.289078,18.675558
91,50.289067,18.675553
92,50.289053,18.675545
93,50.289047,18.675513
94,50.289038,18.675492
95,50.289028,18.675477
96,50.289027,18.675495
97,50.289025,18.675487
98,50.289027,18.675485
99,50.28902,18.675488
100,50.289028,18.67552
101,50.289028,18.675523
102,50.289032,18.675535
103,50.289027,18.67554
104,50.289025,18.675542
105,50.289022,18.675542
106,50.289023,18.67555
107,50.289027,18.67556
108,50.28902,18.67558
109,50.28902,18.675593
110,50.289023,18.675608
111,50.289025,18.675613
112,50.289027,18.675625
113,50.289023,18.675633
114,50.289023,18.67565
115,50.289023,18.67566
116,50.289027,18.675665
117,50.289027,18.675668
118,50.289032,18.675673
119,50.289035,18.675677
