,x,y
0,50.289235,18.676305
1,50.289235,18.676305
2,50.289235,18.676305
3,50.289577,18.676702
4,50.289572,18.676747
5,50.289568,18.676777
6,50.289542,18.676723
7,50.289418,18.676427
8,50.289403,18.676315
9,50.28954,18.676397
10,50.289507,18.676352
11,50.289495,18.676295
12,50.281953,18.684488
13,50.281915,18.684518
14,50.284167,18.682288
15,50.289443,18.677063
16,50.289427,18.677062
17,50.289417,18.677055
18,50.289168,18.676262
19,50.289228,18.676292
20,50.289235,18.676285
21,50.289163,18.676333
22,50.289223,18.67648
23,50.289738,18.676623
24,50.289668,18.676583
25,50.289417,18.676835
26,50.28942,18.676702
27,50.289427,18.676652
28,50.289488,18.676705
29,50.289487,18.676705
30,50.289557,18.676637
31,50.289578,18.676613
32,50.289607,18.676588
33,50.289607,18.676583
34,50.28961,18.676575
35,50.281577,18.68437
36,50.289748,18.676867
37,50.289733,18.676697
38,50.289742,18.6767
39,50.289758,18.6767
40,50.289563,18.676507
41,50.289525,18.676395
42,50.289495,18.676367
43,50.289487,18.676263
44,50.289488,18.676268
45,50.289508,18.676193
46,50.289495,18.676215
47,50.289463,18.67623
48,50.289443,18.676257
49,50.289417,18.67628
50,50.2894,18.676288
51,50.289382,18.676293
52,50.289383,18.676272
53,50.289368,18.676283
54,50.28936,18.676288
55,50.289337,18.676277
56,50.28932,18.676273
57,50.28932,18.676268
58,50.289313,18.676262
59,50.289312,18.676262
60,50.289303,18.676257
61,50.289298,18.67626
62,50.289292,18.676253
63,50.289292,18.676253
64,50.289288,18.676248
65,50.289293,18.676245
66,50.289295,18.676245
67,50.289287,18.676235
68,50.289282,18.676227
69,50.289282,18.676223
70,50.289275,18.676217
71,50.289277,18.676218
72,50.289275,18.676222
73,50.289273,18.676222
74,50.289272,18.676222
75,50.289272,18.676222
76,50.289273,18.676222
77,50.289275,18.676222
78,50.289275,18.676222
79,50.289277,18.676222
80,50.28928,18.676212
81,50.289282,18.676212
82,50.289283,18.676212
83,50.289283,18.676212
84,50.289282,18.676212
85,50.289282,18.67621
86,50.289282,18.676212
87,50.289282,18.676215
88,50.289282,18.676215
89,50.289282,18.676217
90,50.289282,18.676218
91,50.289282,18.67622
92,50.289282,18.676222
93,50.289282,18.676222
94,50.289282,18.676223
95,50.289512,18.676313
96,50.289512,18.676312
97,50.289552,18.67636
98,50.289562,18.676338
99,50.289548,18.676355
100,50.289522,18.676358
101,50.289498,18.676323
102,50.289825,18.676477
103,50.289723,18.676473
104,50.289725,18.676362
105,50.289682,18.676252
106,50.289648,18.676228
107,50.28959,18.676385
108,50.289577,18.676437
109,50.28959,18.676413
110,50.289522,18.676378
111,50.289508,18.676373
112,50.289507,18.676377
113,50.289498,18.676368
114,50.289483,18.676367
115,50.289475,18.676402
116,50.289475,18.676398
117,50.289475,18.676392
118,50.289467,18.67639
119,50.289467,18.676388
