,x,y
0,50.289513,18.676173
1,50.289407,18.676343
2,50.289385,18.676368
3,50.289405,18.67628
4,50.289402,18.676172
5,50.28949,18.676207
6,50.28955,18.676212
7,50.289532,18.676207
8,50.289535,18.676208
9,50.289515,18.676215
10,50.289508,18.676232
11,50.28952,18.67625
12,50.289525,18.676273
13,50.289533,18.676258
14,50.289533,18.676242
15,50.289545,18.676237
16,50.28955,18.676243
17,50.289555,18.676252
18,50.289558,18.676255
19,50.28956,18.676253
20,50.289553,18.676247
21,50.289553,18.67625
22,50.289557,18.676247
23,50.289563,18.67624
24,50.289563,18.67625
25,50.289542,18.67627
26,50.289512,18.676295
27,50.289483,18.676315
28,50.28947,18.676328
29,50.289462,18.67633
30,50.289457,18.676333
31,50.289447,18.676342
32,50.289435,18.676342
33,50.289425,18.676338
34,50.289425,18.676338
35,50.289423,18.676338
36,50.289423,18.676338
37,50.289425,18.676338
38,50.289425,18.676338
39,50.289425,18.676338
40,50.289425,18.676337
41,50.289425,18.676337
42,50.289425,18.676337
43,50.289423,18.676337
44,50.289423,18.676337
45,50.289423,18.676337
46,50.289422,18.676338
47,50.289422,18.676338
48,50.289422,18.67634
49,50.289422,18.67634
50,50.289422,18.67634
51,50.289422,18.67634
52,50.289423,18.67634
53,50.289425,18.67634
54,50.289425,18.67634
55,50.289427,18.67634
56,50.289427,18.67634
57,50.289427,18.676342
58,50.289427,18.676342
59,50.289427,18.676342
60,50.289428,18.676343
61,50.289428,18.676343
62,50.28943,18.676343
63,50.28943,18.676342
64,50.28943,18.676343
65,50.28943,18.676343
66,50.28943,18.676343
67,50.28943,18.676343
68,50.289432,18.676343
69,50.289432,18.676342
70,50.289432,18.676342
71,50.289433,18.676342
72,50.289433,18.676342
73,50.289433,18.676342
74,50.289435,18.676342
75,50.289435,18.676342
76,50.289435,18.676343
77,50.289437,18.676343
78,50.289437,18.676343
79,50.289437,18.676343
80,50.289438,18.676343
81,50.289438,18.676345
82,50.289438,18.676345
83,50.289438,18.676345
84,50.289438,18.676345
85,50.28944,18.676345
86,50.289442,18.676345
87,50.289442,18.676345
88,50.289443,18.676345
89,50.289443,18.676347
90,50.289443,18.676347
91,50.289443,18.676347
92,50.289443,18.676347
93,50.289442,18.676347
94,50.289442,18.676347
95,50.289442,18.676347
96,50.289442,18.676347
97,50.289442,18.676347
98,50.28944,18.676345
99,50.289438,18.676347
100,50.289437,18.676347
101,50.289435,18.676347
102,50.289435,18.676348
103,50.289435,18.676348
104,50.289433,18.67635
105,50.289432,18.676348
106,50.289432,18.676347
107,50.289432,18.676348
108,50.289432,18.676348
109,50.289432,18.676348
110,50.28943,18.676352
111,50.289428,18.676355
112,50.28943,18.676355
113,50.28943,18.676355
114,50.289432,18.676357
115,50.289432,18.676357
116,50.289433,18.676357
117,50.289433,18.676357
118,50.289433,18.676357
119,50.289435,18.676358
