,x,y
0,50.289913,18.675502
1,50.289763,18.675463
2,50.289872,18.675378
3,50.289785,18.675428
4,50.28963,18.675415
5,50.289577,18.675422
6,50.289543,18.675387
7,50.289525,18.675487
8,50.289522,18.675488
9,50.289505,18.675455
10,50.289413,18.675465
11,50.289448,18.675485
12,50.289388,18.675508
13,50.289325,18.675513
14,50.289277,18.675503
15,50.289245,18.675527
16,50.289222,18.675525
17,50.289215,18.675515
18,50.289208,18.675533
19,50.289208,18.675533
20,50.289213,18.675542
21,50.289227,18.675535
22,50.289212,18.67554
23,50.289207,18.675545
24,50.289207,18.67555
25,50.289205,18.675552
26,50.289202,18.675557
27,50.289205,18.675557
28,50.289213,18.675552
29,50.289217,18.675547
30,50.289223,18.675545
31,50.289218,18.675552
32,50.289215,18.675547
33,50.289217,18.675545
34,50.289215,18.675553
35,50.289217,18.675553
36,50.289218,18.675553
37,50.289218,18.675555
38,50.28922,18.675555
39,50.28922,18.675555
40,50.289218,18.675555
41,50.289218,18.675555
42,50.289217,18.675557
43,50.289213,18.675557
44,50.289213,18.675557
45,50.289212,18.675558
46,50.289212,18.675558
47,50.28921,18.675558
48,50.28921,18.67556
49,50.289208,18.67556
50,50.289208,18.675562
51,50.289207,18.675562
52,50.289205,18.675563
53,50.289205,18.675563
54,50.289205,18.675565
55,50.289205,18.675565
56,50.289205,18.675565
57,50.289207,18.675567
58,50.289207,18.675567
59,50.289207,18.675567
60,50.289208,18.675567
61,50.289208,18.675567
62,50.289208,18.675568
63,50.289208,18.675568
64,50.289207,18.675568
65,50.289205,18.675568
66,50.289203,18.675567
67,50.289202,18.675568
68,50.2892,18.675568
69,50.2892,18.675568
70,50.289198,18.675568
71,50.289198,18.675568
72,50.289197,18.675567
73,50.289195,18.675568
74,50.289193,18.675568
75,50.28919,18.67557
76,50.289188,18.67557
77,50.289187,18.67557
78,50.289187,18.67557
79,50.289185,18.67557
80,50.289183,18.67557
81,50.289183,18.67557
82,50.289182,18.67557
83,50.289182,18.675568
84,50.289182,18.675568
85,50.289182,18.67557
86,50.289183,18.67557
87,50.289185,18.67557
88,50.289185,18.675572
89,50.289188,18.67558
90,50.289188,18.67558
91,50.289188,18.675582
92,50.289188,18.675583
93,50.289188,18.675583
94,50.289188,18.675583
95,50.289188,18.675583
96,50.289188,18.675583
97,50.289187,18.675583
98,50.289187,18.675583
99,50.289187,18.675585
100,50.289187,18.675585
101,50.289187,18.675585
102,50.289188,18.675583
103,50.289188,18.675583
104,50.28919,18.675582
105,50.289192,18.675582
106,50.289192,18.675582
107,50.289192,18.675582
108,50.289193,18.675582
109,50.289193,18.675585
110,50.289198,18.67558
111,50.289203,18.67558
112,50.2892,18.675577
113,50.289193,18.67557
114,50.289195,18.675567
115,50.289197,18.675567
116,50.289193,18.67557
117,50.28919,18.67557
118,50.289192,18.675572
119,50.289197,18.675573
