,x,y
0,50.289197,18.675747
1,50.289195,18.67576
2,50.289178,18.675788
3,50.289185,18.675825
4,50.289183,18.675817
5,50.289175,18.67581
6,50.289163,18.675828
7,50.289167,18.675818
8,50.289173,18.675815
9,50.28917,18.675822
10,50.28916,18.675835
11,50.289158,18.675828
12,50.289163,18.675815
13,50.289167,18.675825
14,50.289167,18.675822
15,50.289163,18.675827
16,50.289168,18.675823
17,50.289167,18.67582
18,50.289167,18.67582
19,50.289167,18.67582
20,50.289165,18.67582
21,50.289163,18.675822
22,50.289162,18.675825
23,50.28916,18.675827
24,50.289158,18.675828
25,50.289157,18.67583
26,50.289155,18.675832
27,50.289153,18.675833
28,50.289153,18.675835
29,50.289152,18.675837
30,50.289152,18.675838
31,50.28915,18.67584
32,50.289148,18.67584
33,50.289147,18.675842
34,50.289145,18.675843
35,50.289143,18.675845
36,50.289142,18.675845
37,50.289142,18.675845
38,50.28914,18.675847
39,50.289138,18.675848
40,50.289138,18.675848
41,50.289138,18.675847
42,50.289138,18.675847
43,50.289138,18.675847
44,50.289138,18.675845
45,50.289137,18.675843
46,50.289137,18.675843
47,50.289137,18.675842
48,50.289137,18.675842
49,50.289137,18.67584
50,50.289135,18.67584
51,50.289135,18.67584
52,50.289133,18.67584
53,50.289132,18.675838
54,50.289132,18.675838
55,50.28913,18.675838
56,50.289128,18.675838
57,50.289127,18.67584
58,50.289127,18.67584
59,50.289125,18.67584
60,50.289123,18.67584
61,50.289123,18.675842
62,50.289122,18.675842
63,50.28912,18.675842
64,50.28912,18.675842
65,50.28912,18.675843
66,50.28912,18.675845
67,50.289118,18.675845
68,50.289118,18.675845
69,50.289118,18.675845
70,50.289118,18.675843
71,50.289118,18.675842
72,50.28912,18.67584
73,50.28912,18.675838
74,50.289122,18.675837
75,50.289132,18.675847
76,50.289138,18.675855
77,50.289143,18.675857
78,50.28914,18.67586
79,50.289145,18.675862
80,50.289158,18.675858
81,50.28916,18.675857
82,50.289167,18.675853
83,50.289167,18.675862
84,50.289163,18.67587
85,50.289163,18.67587
86,50.289158,18.675882
87,50.289158,18.675882
88,50.28916,18.675882
89,50.289162,18.675882
90,50.289163,18.675882
91,50.289167,18.675882
92,50.289168,18.675882
93,50.28917,18.67588
94,50.289175,18.675868
95,50.289177,18.675858
96,50.289182,18.675858
97,50.289188,18.675848
98,50.289192,18.675837
99,50.289193,18.675835
100,50.289193,18.675832
101,50.289193,18.675828
102,50.289193,18.675825
103,50.289193,18.675823
104,50.289192,18.675822
105,50.289192,18.67582
106,50.28919,18.675817
107,50.28919,18.675815
108,50.289188,18.675815
109,50.289187,18.675813
110,50.289185,18.675812
111,50.289187,18.675812
112,50.289188,18.675812
113,50.289188,18.675813
114,50.289188,18.675813
115,50.289188,18.675813
116,50.289188,18.675815
117,50.289188,18.675817
118,50.289188,18.675815
119,50.289187,18.675813
