,x,y
0,50.289583,18.676202
1,50.289588,18.676212
2,50.289597,18.67621
3,50.289598,18.676205
4,50.2896,18.676208
5,50.289605,18.676207
6,50.28961,18.676208
7,50.289615,18.676215
8,50.289603,18.676218
9,50.289603,18.676223
10,50.289597,18.67622
11,50.289595,18.67621
12,50.289588,18.676208
13,50.289592,18.67621
14,50.289588,18.676213
15,50.289593,18.67621
16,50.289597,18.676203
17,50.289595,18.676207
18,50.289585,18.6762
19,50.289577,18.676202
20,50.289572,18.676198
21,50.289577,18.676188
22,50.289577,18.676188
23,50.289577,18.676188
24,50.289578,18.676188
25,50.289578,18.676187
26,50.28958,18.676185
27,50.28958,18.676183
28,50.289582,18.676183
29,50.289582,18.676182
30,50.289582,18.67618
31,50.289582,18.67618
32,50.289582,18.67618
33,50.289582,18.676178
34,50.289582,18.676178
35,50.289582,18.676177
36,50.289582,18.676178
37,50.28958,18.67618
38,50.28958,18.67618
39,50.28958,18.67618
40,50.289578,18.67618
41,50.289578,18.676178
42,50.289578,18.676178
43,50.289578,18.676178
44,50.289578,18.676178
45,50.289578,18.676178
46,50.289578,18.676178
47,50.289578,18.676178
48,50.289578,18.676177
49,50.289578,18.676177
50,50.289577,18.676177
51,50.289578,18.676175
52,50.289578,18.676175
53,50.28958,18.676175
54,50.289582,18.676175
55,50.289583,18.676173
56,50.289583,18.676173
57,50.289585,18.676172
58,50.289585,18.676172
59,50.289585,18.676172
60,50.289585,18.676172
61,50.289585,18.676172
62,50.289587,18.676172
63,50.289587,18.67617
64,50.289587,18.67617
65,50.289588,18.676168
66,50.289587,18.676168
67,50.289587,18.676167
68,50.289585,18.676167
69,50.289583,18.676165
70,50.289583,18.676165
71,50.289583,18.676165
72,50.289583,18.676165
73,50.289583,18.676165
74,50.289582,18.676165
75,50.289583,18.676165
76,50.289583,18.676163
77,50.289583,18.676163
78,50.289583,18.676163
79,50.289585,18.676165
80,50.289585,18.676165
81,50.289585,18.676163
82,50.289585,18.676163
83,50.289585,18.676162
84,50.289585,18.676163
85,50.289585,18.676163
86,50.289585,18.676163
87,50.289585,18.676163
88,50.289585,18.676163
89,50.289583,18.676163
90,50.289583,18.676163
91,50.289583,18.676163
92,50.289583,18.676163
93,50.289583,18.676163
94,50.289582,18.676165
95,50.289582,18.676167
96,50.28958,18.676168
97,50.289578,18.676172
98,50.289577,18.676173
99,50.289575,18.676177
100,50.289575,18.676178
101,50.289573,18.676182
102,50.289572,18.676182
103,50.289572,18.676185
104,50.28957,18.676187
105,50.28957,18.676187
106,50.28957,18.676188
107,50.28957,18.67619
108,50.28957,18.67619
109,50.289568,18.676193
110,50.289568,18.676195
111,50.289567,18.676197
112,50.289567,18.676198
113,50.289565,18.6762
114,50.289565,18.676202
115,50.289563,18.676202
116,50.289562,18.676202
117,50.28956,18.676203
118,50.289558,18.676207
119,50.289548,18.676202
