,x,y
0,50.288948,18.675647
1,50.288942,18.67564
2,50.28894,18.67563
3,50.288947,18.675633
4,50.288937,18.675633
5,50.288933,18.675627
6,50.288942,18.675618
7,50.288932,18.675617
8,50.288932,18.675597
9,50.288935,18.675607
10,50.28893,18.675612
11,50.288915,18.675598
12,50.288905,18.675597
13,50.288893,18.675597
14,50.288902,18.675595
15,50.288907,18.675595
16,50.288908,18.675597
17,50.288912,18.675612
18,50.288923,18.675605
19,50.288933,18.675612
20,50.288947,18.675613
21,50.288948,18.675615
22,50.288952,18.675617
23,50.288953,18.675615
24,50.288955,18.675615
25,50.288958,18.675615
26,50.288968,18.675622
27,50.288962,18.675623
28,50.28896,18.675617
29,50.288965,18.675615
30,50.288965,18.675617
31,50.28896,18.67562
32,50.288952,18.675623
33,50.28895,18.675623
34,50.28895,18.675625
35,50.288948,18.675625
36,50.288947,18.675628
37,50.28896,18.675645
38,50.288975,18.67565
39,50.288973,18.675655
40,50.28898,18.675655
41,50.288977,18.675655
42,50.288973,18.675655
43,50.288972,18.675657
44,50.28897,18.675657
45,50.288968,18.675658
46,50.288968,18.67566
47,50.288968,18.675662
48,50.28897,18.675663
49,50.28897,18.675663
50,50.288972,18.675665
51,50.288973,18.675665
52,50.288975,18.675663
53,50.28898,18.675662
54,50.288988,18.67566
55,50.289,18.675667
56,50.289,18.675662
57,50.289017,18.675653
58,50.289037,18.675652
59,50.289048,18.675648
60,50.289047,18.675655
61,50.289048,18.675657
62,50.289053,18.67566
63,50.289055,18.67566
64,50.289057,18.675662
65,50.289057,18.675663
66,50.289053,18.675662
67,50.28905,18.675665
68,50.289043,18.675672
69,50.289047,18.67567
70,50.289052,18.675688
71,50.289053,18.675695
72,50.289065,18.67571
73,50.289062,18.675713
74,50.289068,18.675725
75,50.289067,18.675737
76,50.289067,18.675733
77,50.289083,18.675743
78,50.289085,18.675738
79,50.289083,18.675743
80,50.289095,18.675745
81,50.289097,18.675747
82,50.289097,18.675747
83,50.289095,18.675747
84,50.289093,18.675747
85,50.289092,18.675745
86,50.289083,18.675755
87,50.28908,18.675757
88,50.289067,18.675763
89,50.28906,18.675768
90,50.289057,18.675782
91,50.289055,18.675782
92,50.289043,18.675788
93,50.289035,18.675793
94,50.289028,18.675793
95,50.289025,18.675793
96,50.289015,18.675797
97,50.289012,18.675797
98,50.289015,18.675785
99,50.289018,18.675783
100,50.289017,18.675778
101,50.289017,18.675778
102,50.289015,18.67578
103,50.289013,18.67578
104,50.288993,18.67578
105,50.28899,18.675772
106,50.288978,18.675763
107,50.288977,18.67576
108,50.288993,18.675763
109,50.289007,18.67577
110,50.289007,18.675772
111,50.289005,18.675765
112,50.289022,18.67574
113,50.289027,18.67574
114,50.289013,18.675728
115,50.289008,18.675718
116,50.289008,18.67572
117,50.289005,18.675722
118,50.289,18.675718
119,50.288998,18.67572
